accident,accident_label,victim,victim_label,pers_cat,pers_cat_label,geo,geo_label,period,value,flag
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2020,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2021,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2022,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2023,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2024,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2006,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2007,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2008,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2009,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2010,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2011,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2012,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2013,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2014,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2015,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2016,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2017,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2018,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2019,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2020,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2021,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2022,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2023,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BG,Bulgaria,2024,5,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CH,Switzerland,2009,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CH,Switzerland,2010,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CH,Switzerland,2011,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CH,Switzerland,2012,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CH,Switzerland,2013,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CH,Switzerland,2014,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CH,Switzerland,2015,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CH,Switzerland,2016,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CH,Switzerland,2017,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CH,Switzerland,2018,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CH,Switzerland,2019,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CH,Switzerland,2020,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CH,Switzerland,2021,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CH,Switzerland,2022,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CH,Switzerland,2023,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CH,Switzerland,2024,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2007,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2008,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2009,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2010,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2011,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2012,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2013,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2014,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2015,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2016,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2017,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2018,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2019,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2020,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2021,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2022,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2023,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CHUNNEL,Channel Tunnel,2024,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2006,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2007,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2008,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2009,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2010,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2011,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2012,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2013,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2014,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2015,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2016,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2017,4,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2018,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2019,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2020,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2021,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2022,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2023,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,CZ,Czechia,2024,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2006,8,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2007,4,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2008,5,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2009,6,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2010,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2011,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2012,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2013,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2014,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2015,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2016,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2017,5,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2018,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2019,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2020,6,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2021,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2022,4,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2023,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DE,Germany,2024,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2006,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2007,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2008,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2009,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2010,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2011,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2012,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2013,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2014,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2015,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2016,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2017,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2018,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2019,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2020,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2021,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2022,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2023,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,DK,Denmark,2024,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2007,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2008,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2009,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2010,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2011,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2012,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2013,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2014,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2015,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2016,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2017,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2018,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2019,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2020,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2021,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2022,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2023,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EE,Estonia,2024,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2006,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2007,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2008,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2009,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2010,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2011,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2012,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2013,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2014,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2015,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2016,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2017,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2018,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2019,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2020,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2021,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2022,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2023,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,EL,Greece,2024,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,ES,Spain,2006,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,ES,Spain,2007,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,ES,Spain,2008,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,ES,Spain,2009,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,ES,Spain,2010,1,
